'NAME','STATE','STARS'
'John's Chinese BBQ Restaurant','ON','3.0'
'Primal Brewery','NC','4.0'
'Valley Bone and Joint Specialists','AZ','4.5'
'Great Clips','AZ','3.5'
'Delmonico Steakhouse','NV','4.0'
'Sunnyside Grill','ON','3.5'
'World Food Championships','NV','3.0'
'MV Nail Spa','OH','3.0'
'Bath & Body Works','NC','4.0'
'The Bar At Bermuda & St. Rose','NV','3.5'
'Welch Physical Therapy','AZ','3.5'
'Mm Mm Pizza','PA','4.0'
'Happy Moose Bar and Grill','OH','3.5'
'Hungry Howie's Pizza','NC','3.0'
'Sam's Club','AZ','3.0'
'International Newsagents','EDH','4.0'
'KFC','OH','2.0'
'Don Valley North Toyota Scion Service','ON','3.5'
'Circle K','AZ','3.5'
'Denny's','OH','2.0'
'Keung Kee Restaurant','ON','3.5'
'The Greens','NV','2.0'
'Charlotte Root Canal Center','NC','3.5'
'SAE Institute','BW','4.5'
'Dial Carpet Cleaning','NV','5.0'
'Pinnacle Restoration','NV','5.0'
'Famous Footwear','AZ','4.0'
'Pio Pio','NC','4.0'
'Eazor's Auto Salon','PA','5.0'
'Howl at the Moon','PA','3.0'
'Lucky's Pet Grooming & Boutique','NV','3.5'
'Lake Erie Nature & Science Center','OH','4.5'
'Q's Nails','NC','4.0'
'The Manor - Boutique Salon','ON','4.5'
'Nightlife Tours','NV','3.5'
'Advantage Rent-A-Car','AZ','2.5'
'Maricopa County Department of Public Health','AZ','4.5'
'Santa Claus Parade','ON','3.0'
'Bella Vista','BW','3.5'
'Pearson Moving','AZ','4.5'
'Impressions Dental','AZ','3.5'
'Primanti Bros.','PA','3.5'
'Galaxie Electronics','PA','5.0'
'Nacho Mobile Auto Repair','NV','4.5'
'Cool Cat Auto Repair','AZ','5.0'
'Tonyc Salon & Spa','ON','4.5'
'18 Degrees Neighborhood Grill','AZ','3.0'
'GoodLife Vapes','ON','5.0'
'Subway','IL','2.0'
'China House','OH','3.5'
'Wong's Jr','AZ','3.5'
