'REVIEWS','CATEGORIES'
'6','Active Life'
'21','Appliances & Repair'
'6','Buses'
'16','Dance Clubs'
'32','Event Photography'
'32','Event Planning & Services'
'3','Gardeners'
'24','Heating & Air Conditioning/HVAC'
'62','Home Services'
'18','IT Services & Computer Repair'
'4','Keys & Locksmiths'
'59','Local Services'
'4','Mobile Phone Accessories'
'3','Mobile Phone Repair'
'41','Office Cleaning'
'5','Photo Booth Rentals'
'5','Photographers'
'7','Video/Film Production'
'17','Web Design'
'6','Wedding Planning'
