'WEEKDAY','HOUR','CHECKINS'
'Fri','0:00','178666'
'Fri','10:00','11837'
'Fri','11:00','15617'
'Fri','12:00','26149'
'Fri','13:00','37355'
'Fri','14:00','56684'
'Fri','15:00','79148'
'Fri','16:00','106798'
'Fri','17:00','119295'
'Fri','18:00','1.5674E+5'
'Fri','19:00','194731'
'Fri','1:00','190371'
'Fri','20:00','168226'
'Fri','21:00','154843'
'Fri','22:00','166393'
'Fri','23:00','1.9053E+5'
'Fri','2:00','169989'
'Fri','3:00','127783'
'Fri','4:00','86825'
'Fri','5:00','55672'
'Fri','6:00','36546'
'Fri','7:00','26551'
'Fri','8:00','18004'
'Fri','9:00','12683'
'Mon','0:00','163336'
'Mon','10:00','10432'
'Mon','11:00','1.458E+4'
'Mon','12:00','23655'
'Mon','13:00','3.364E+4'
'Mon','14:00','48243'
'Mon','15:00','66663'
'Mon','16:00','88219'
'Mon','17:00','100422'
'Mon','18:00','131296'
'Mon','19:00','160678'
'Mon','1:00','161168'
'Mon','20:00','140018'
'Mon','21:00','127014'
'Mon','22:00','129185'
'Mon','23:00','138087'
'Mon','2:00','140252'
'Mon','3:00','106422'
'Mon','4:00','73497'
'Mon','5:00','48253'
'Mon','6:00','31624'
'Mon','7:00','23022'
'Mon','8:00','15327'
'Mon','9:00','1.1E+4'
'Sat','0:00','224425'
'Sat','10:00','16753'
'Sat','11:00','15833'
'Sat','12:00','2.133E+4'
'Sat','13:00','36613'
'Sat','14:00','63294'
'Sat','15:00','103651'
'Sat','16:00','149504'
'Sat','17:00','188682'
'Sat','18:00','225651'
'Sat','19:00','251537'
'Sat','1:00','245453'
'Sat','20:00','246969'
'Sat','21:00','229788'
'Sat','22:00','219524'
'Sat','23:00','217466'
'Sat','2:00','236195'
'Sat','3:00','189242'
'Sat','4:00','138952'
'Sat','5:00','97062'
'Sat','6:00','68465'
'Sat','7:00','49633'
'Sat','8:00','33591'
'Sat','9:00','21969'
'Sun','0:00','225209'
'Sun','10:00','15903'
'Sun','11:00','13724'
'Sun','12:00','16856'
'Sun','13:00','28085'
'Sun','14:00','49652'
'Sun','15:00','8.611E+4'
'Sun','16:00','1.2933E+5'
'Sun','17:00','171205'
'Sun','18:00','205088'
'Sun','19:00','229561'
'Sun','1:00','235295'
'Sun','20:00','222193'
'Sun','21:00','197524'
'Sun','22:00','178938'
'Sun','23:00','168674'
'Sun','2:00','224716'
'Sun','3:00','184979'
'Sun','4:00','140092'
'Sun','5:00','101133'
'Sun','6:00','72404'
'Sun','7:00','5.289E+4'
'Sun','8:00','35079'
'Sun','9:00','21524'
'Thu','0:00','171669'
'Thu','10:00','9776'
'Thu','11:00','14791'
'Thu','12:00','24631'
'Thu','13:00','34514'
'Thu','14:00','51012'
'Thu','15:00','70076'
'Thu','16:00','91269'
'Thu','17:00','99254'
'Thu','18:00','131839'
'Thu','19:00','162155'
'Thu','1:00','181712'
'Thu','20:00','135046'
'Thu','21:00','124231'
'Thu','22:00','133354'
'Thu','23:00','1.5117E+5'
'Thu','2:00','160906'
'Thu','3:00','117639'
'Thu','4:00','76283'
'Thu','5:00','4.213E+4'
'Thu','6:00','27108'
'Thu','7:00','20672'
'Thu','8:00','1.383E+4'
'Thu','9:00','10058'
'Tue','0:00','156195'
'Tue','10:00','9448'
'Tue','11:00','14397'
'Tue','12:00','24994'
'Tue','13:00','35002'
'Tue','14:00','50415'
'Tue','15:00','67864'
'Tue','16:00','86936'
'Tue','17:00','95791'
'Tue','18:00','126253'
'Tue','19:00','1.5519E+5'
'Tue','1:00','162632'
'Tue','20:00','128641'
'Tue','21:00','117723'
'Tue','22:00','126244'
'Tue','23:00','143508'
'Tue','2:00','141732'
'Tue','3:00','103584'
'Tue','4:00','6.895E+4'
'Tue','5:00','42977'
'Tue','6:00','26646'
'Tue','7:00','18946'
'Tue','8:00','12452'
'Tue','9:00','8837'
'Wed','0:00','166254'
'Wed','10:00','9.2E+3'
'Wed','11:00','14568'
'Wed','12:00','24828'
'Wed','13:00','34519'
'Wed','14:00','51139'
'Wed','15:00','69115'
'Wed','16:00','89414'
'Wed','17:00','97497'
'Wed','18:00','128179'
'Wed','19:00','157893'
'Wed','1:00','174696'
'Wed','20:00','131959'
'Wed','21:00','1.2081E+5'
'Wed','22:00','129874'
'Wed','23:00','146355'
'Wed','2:00','153923'
'Wed','3:00','1.1184E+5'
'Wed','4:00','72821'
'Wed','5:00','44109'
'Wed','6:00','27175'
'Wed','7:00','19195'
'Wed','8:00','12484'
'Wed','9:00','8814'
