'CATEGORIES','CHECKINS'
'3D Printing','1'
'ATV Rentals/Tours','3'
'Acai Bowls','76'
'Accessories','342'
'Accountants','31'
'Active Life','20323'
'Acupuncture','1.7E+2'
'Adult','24'
'Adult Education','6E+1'
'Adult Entertainment','182'
'Advertising','42'
'Aerial Fitness','2'
'Aerial Tours','3'
'Afghan','89'
'African','31'
'Air Duct Cleaning','9'
'Airlines','714'
'Airport Lounges','236'
'Airport Shuttles','129'
'Airport Terminals','3E+1'
'Airports','1512'
'Allergists','121'
'Alternative Medicine','7'
'Amateur Sports Teams','35'
'American (New)','1.029E+4'
'American (Traditional)','17166'
'Amusement Parks','347'
'Anesthesiologists','1'
'Animal Shelters','22'
'Antiques','94'
'Apartments','1335'
'Appliances','496'
'Appliances & Repair','85'
'Appraisal Services','25'
'Aquarium Services','8'
'Aquariums','301'
'Arabian','56'
'Arcades','122'
'Archery','8'
'Architects','9'
'Argentine','253'
'Art Classes','22'
'Art Galleries','322'
'Art Museums','224'
'Art Restoration','1'
'Art Schools','76'
'Art Space Rentals','4'
'Art Supplies','147'
'Artificial Turf','3'
'Arts & Crafts','394'
'Arts & Entertainment','8837'
'Asian Fusion','1794'
'Assisted Living Facilities','25'
'Auction Houses','2'
'Audiologist','6'
'Australian','25'
'Austrian','1E+1'
'Auto Customization','315'
'Auto Detailing','1151'
'Auto Glass Services','158'
'Auto Insurance','23'
'Auto Loan Providers','17'
'Auto Parts & Supplies','1545'
'Auto Repair','4428'
'Auto Security','4'
'Auto Upholstery','4'
'Automotive','11699'
'Ayurveda','4'
'Baby Gear & Furniture','6E+1'
'Bagels','3.69E+3'
'Baguettes','1'
'Bail Bondsmen','2'
'Bakeries','8714'
'Bankruptcy Law','22'
'Banks & Credit Unions','2103'
'Barbeque','1692'
'Barbers','1278'
'Barre Classes','117'
'Bars','10127'
'Bartenders','6'
'Baseball Fields','36'
'Basketball Courts','215'
'Basque','22'
'Battery Stores','14'
'Batting Cages','15'
'Bavarian','1'
'Beach Equipment Rentals','1'
'Beaches','213'
'Beauty & Spas','9041'
'Bed & Breakfast','62'
'Beer','2609'
'Beer Bar','241'
'Beer Garden','21'
'Beer Gardens','13'
'Beer Tours','73'
'Belgian','121'
