'NAME','NEIGHBORHOOD','ADDRESS','CITY','STATE','POSTALCODE','LATITUDE','LONGITUDE','STARS','REVIEWCOUNT','ISOPEN','CATEGORIES','CHECKINS'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1478'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','1444'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1433'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1425'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1398'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1361'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','1355'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','1297'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1276'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1146'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1138'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1129'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1066'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1028'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','1017'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','991'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','988'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','977'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','973'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','972'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','970'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','915'
'The Lodge','','4422 N 75th St','Scottsdale','AZ','85251','335.008.947','-1.119.203.705','3.5','213','0','Nightlife','857'
'Wasted Grain','','7295 E Stetson Dr','Scottsdale','AZ','85251','334.992.759.128','-111.924.319.542','3.5','149','1','Bars','831'
'McCarran International Airport','Southeast','5757 Wayne Newton Blvd','Las Vegas','NV','89119','360.850.163.303','-115.151.009.469','3.5','3284','1','Hotels & Travel','811'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','767'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','764'
'Wicked Spoon','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.538','-11.517.617','3.5','5950','1','Buffets','741'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','735'
'Marquee Nightclub & Dayclub','The Strip','3708 S Las Vegas Blvd','Las Vegas','NV','89109','36.109.453','-115.174.223','3.5','2130','1','Music Venues','726'
'The Lodge','','4422 N 75th St','Scottsdale','AZ','85251','335.008.947','-1.119.203.705','3.5','213','0','Nightlife','725'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','721'
'Bacchanal Buffet','The Strip','3570 S Las Vegas Blvd','Las Vegas','NV','89109','36.116.113','-115.176.222','4.0','7009','1','Sandwiches','700'
'Egg & I','Westside','4533 W Sahara Ave Ste 5','Las Vegas','NV','89102','361.440.458','-1.152.024.651','4.5','2595','1','Restaurants','688'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','680'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','680'
'Bacchanal Buffet','The Strip','3570 S Las Vegas Blvd','Las Vegas','NV','89109','36.116.113','-115.176.222','4.0','7009','1','Sandwiches','677'
'Wicked Spoon','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.538','-11.517.617','3.5','5950','1','Buffets','673'
'The Cosmopolitan of Las Vegas','The Strip','3708 Las Vegas Blvd S','Las Vegas','NV','89109','36.109.746','-115.173.888','4.0','3772','1','Hotels','670'
'Phoenix Sky Harbor International Airport','','3400 E Sky Harbor Blvd Ste 3300','Phoenix','AZ','85034','334.359.431','-112.011.026','3.0','2215','1','Hotels & Travel','665'
'XS Nightclub','The Strip','3131 Las Vegas Blvd S','Las Vegas','NV','89109','361.280.503.306','-115.164.868.534','4.0','2884','1','Nightlife','663'
